"","Vacancy","Value","Count"
2,"java developer","от 3 до 6 лет",3
2740,"начинающий специалист в отдел продаж","нет опыта",3
706,"web программист junior","нет опыта",2
721,"контент маркетолог","от 1 года до 3 лет",2
2150,"специалист поддержки программного обеспечения","от 1 года до 3 лет",2
164,"специалист службы поддержки пользователей","нет опыта",2
165,"специалист службы поддержки пользователей","от 1 года до 3 лет",2
1804,"ведущий инженер программист 1с","от 3 до 6 лет",2
2155,"заместитель технического директора","более 6 лет",2
710,"backend разработчик php","от 1 года до 3 лет",2
997,"специалист службы поддержки","нет опыта",2
707,"web мастерконтент менеджер","от 1 года до 3 лет",2
2973,"специалист по сборке радиоэлектронной аппаратуры","нет опыта",2
1206,"unity developer","от 3 до 6 лет",2
995,"главный специалист отдела информатизации","от 1 года до 3 лет",2
1799,"менеджер по продажам в it компанию","от 3 до 6 лет",2
1798,"менеджер по продажам в it компанию","от 1 года до 3 лет",2
3453,"менеджер по продаже услуг","от 1 года до 3 лет",2
2594,"ведущий инженер проектировщик асу тп","от 3 до 6 лет",2
3282,"продюсер онлайн курсов","от 1 года до 3 лет",2
690,"seo team lead руководитель направления по внутренней оптимизации сайта и контента удаленно","от 1 года до 3 лет",2
1220,"руководитель it проектов","нет опыта",2
4188,"техник группы инженерно технического обеспечения","нет опыта",2
4189,"voip инженер","от 1 года до 3 лет",2
173,"главный специалист информационной безопасности","от 1 года до 3 лет",2
684,"веб разработчик","нет опыта",2
1813,"php программист senior","от 3 до 6 лет",2
948,"оператор call центра входящая линия","нет опыта",2
1815,"заместитель директора по персоналу помощник руководителя","от 3 до 6 лет",2
1951,"lead 2d animation2d senior animator spine","от 3 до 6 лет",2
142,"qa lead","более 6 лет",2
1844,"кабельщик спайщик","от 1 года до 3 лет",2
2098,"техник по обслуживанию игровых аппаратов","от 1 года до 3 лет",2
4111,"product manager менеджер развития продукта","нет опыта",2
3186,"контент менеджер в интернет магазин","от 1 года до 3 лет",2
1842,"программист cс","от 1 года до 3 лет",2
2646,"инженер по информационным технологиям","от 3 до 6 лет",2
150,"старший системный администратор","от 3 до 6 лет",2
1166,"разработчик net c","нет опыта",2
1167,"менеджер по развитию бизнеса","от 1 года до 3 лет",2
762,"специалист по zennoposter","от 1 года до 3 лет",2
3018,"специалист колл центра","нет опыта",2
3954,"менеджер по продажам it продуктов","нет опыта",2
759,"менеджер проектов","от 3 до 6 лет",2
757,"программист php bitrix","от 3 до 6 лет",2
2115,"php программист backend разработчик","от 1 года до 3 лет",2
2117,"инженер технолог","от 1 года до 3 лет",2
750,"frontend разработчик html верстальщик","от 1 года до 3 лет",2
3009,"аналитик сопровождения 1с","от 1 года до 3 лет",2
3008,"специалист по продажам услуг","нет опыта",2
154,"senior frontend разработчик","от 3 до 6 лет",2
1180,"frontend javascript разработчик","от 3 до 6 лет",2
2650,"senior phppython developer","более 6 лет",2
1489,"2d artist 2d художник","от 1 года до 3 лет",2
163,"android разработчик middle","от 1 года до 3 лет",2
3284,"smm менеджер в it компанию медиапорталы","от 1 года до 3 лет",2
4198,"инженер проектировщик кипиа","от 3 до 6 лет",2
1789,"руководитель группы отдела активных продаж онлайн школы удалённо","от 1 года до 3 лет",2
1475,"2d художник","от 1 года до 3 лет",2
1255,"ведущий менеджер по продажам","от 1 года до 3 лет",2
4,"senior java developer","от 3 до 6 лет",2
195,"fullstack разработчик","от 3 до 6 лет",2
2920,"ведущий специалист по защите информации","от 1 года до 3 лет",2
1766,"фронтенд разработчик","от 1 года до 3 лет",2
1764,"программист 1с стажер","нет опыта",2
2916,"руководитель направления информационной безопасности","от 3 до 6 лет",2
2226,"программист bitrix","от 1 года до 3 лет",2
2589,"специалист ит","от 1 года до 3 лет",2
2497,"аналитиктехнический писатель","от 1 года до 3 лет",2
612,"младший специалист по контекстной рекламе","нет опыта",2
3739,"старшийведущий системный администратор","от 3 до 6 лет",2
199,"python разработчик","от 1 года до 3 лет",2
609,"контент менеджер сайта","нет опыта",2
2232,"web разработчик php js","от 1 года до 3 лет",2
2233,"python разработчик middle","от 1 года до 3 лет",2
3310,"тестировщик программного обеспечения","от 1 года до 3 лет",2
3311,"программист тестировщик","от 1 года до 3 лет",2
598,"руководитель интернет проекта","от 1 года до 3 лет",2
